player,dealer,action,value
14,10,0,-1.0
14,10,1,-0.5815052508751535
5,10,0,-0.4346787041954331
5,10,1,-0.7777777777777778
18,5,0,-0.3333333333333333
18,5,1,0.20344370860927072
6,5,0,-0.06060606060606061
6,5,1,-0.3333333333333333
8,5,0,0.04465776293823035
8,5,1,-0.027027027027026997
13,9,0,-0.37956791542174284
13,9,1,-1.0
16,4,0,-0.4263881253435946
16,4,1,-1.0
21,4,0,0.0
21,4,1,0.8872139973082108
13,4,0,-0.29019073569482234
13,4,1,-1.0
19,4,0,-1.0
19,4,1,0.4132885584072905
27,4,1,-1.0
20,10,0,0.0
20,10,1,0.434577242506322
17,10,0,-1.0
17,10,1,-0.4608158144374048
18,10,0,-1.0
18,10,1,-0.23637091127338206
23,10,1,-1.0
10,7,0,0.18481162859685557
10,7,1,-1.0
19,7,0,-1.0
19,7,1,0.6155529617741451
15,7,0,-1.0
15,7,1,-0.4685390224142596
25,7,1,-1.0
13,5,0,-1.0
13,5,1,-0.15157894736842112
8,10,0,-1.0
8,10,1,-0.5764659660151296
11,10,0,0.04651462440407157
11,10,1,-0.5
21,10,0,0.0
21,10,1,0.8865037194473971
14,3,0,-1.0
14,3,1,-0.26228462029355365
16,3,0,-0.48
16,3,1,-0.2649869678540403
20,8,0,-1.0
20,8,1,0.7857274741506652
16,8,0,-1.0
16,8,1,-0.5125313283208025
26,8,1,-1.0
14,11,0,-0.6448466457136667
14,11,1,-1.0
13,11,0,-0.6207689779822539
13,11,1,-1.0
20,4,0,-1.0
20,4,1,0.6669686238985452
30,4,1,-1.0
14,5,0,-1.0
14,5,1,-0.1390948323558712
20,5,0,-0.779263565891471
20,5,1,-1.0
21,5,1,0.8951541850220215
11,9,0,0.11134903640256964
11,9,1,-1.0
15,9,0,-0.4741173922460489
15,9,1,-1.0
13,3,0,-1.0
13,3,1,-0.274811083123427
23,3,1,-1.0
12,10,0,-0.4224751932793605
12,10,1,-1.0
15,4,0,-0.3857142857142853
15,4,1,-1.0
18,4,0,-1.0
18,4,1,0.1683290373192873
22,4,1,-1.0
6,10,0,-0.4754363865394995
6,10,1,-1.0
16,10,0,-0.5312106493973681
16,10,1,-1.0
18,11,0,-1.0
18,11,1,-0.3824696545284778
7,11,0,-0.6288501026694042
7,11,1,-1.0
17,11,0,-0.7142857142857143
17,11,1,-0.6406283623843342
20,2,0,-1.0
20,2,1,0.6543429844098032
12,2,0,-1.0
12,2,1,-0.27110897281693513
22,2,1,-1.0
11,8,0,0.14194184327254827
11,8,1,-1.0
15,8,0,-1.0
15,8,1,-0.5184086978008398
25,8,1,-1.0
15,10,0,-0.49887028382184495
15,10,1,-1.0
10,10,0,-0.06836411803664705
10,10,1,-1.0
17,4,0,-1.0
17,4,1,-0.0685335298452471
20,11,0,-1.0
20,11,1,0.15796323409793367
11,11,0,-0.18433734939759056
11,11,1,-1.0
21,11,0,-1.0
21,11,1,0.6438605619146733
26,11,1,-1.0
8,9,0,-0.75
8,9,1,-0.5260816821674085
17,9,0,-1.0
17,9,1,-0.41798561151079094
20,3,0,0.0
20,3,1,0.6332635983263588
8,7,0,-0.019940602460755203
8,7,1,-1.0
16,6,0,-0.36689038031319765
16,6,1,-1.0
11,6,0,-1.0
11,6,1,-0.13316171308214356
21,6,0,-1.0
21,6,1,0.9030590262817756
22,6,1,-1.0
11,7,0,0.22042100169368498
11,7,1,0.0
21,7,0,0.0
21,7,1,0.9271895884628933
16,11,0,-1.0
16,11,1,-0.7663522338550847
24,11,1,-1.0
20,9,0,0.0
20,9,1,0.7520431513566538
26,5,1,-1.0
15,5,0,-1.0
15,5,1,-0.15304430229803384
21,5,0,-1.0
19,5,0,0.0
19,5,1,0.43608605135322714
18,3,0,-1.0
18,3,1,0.1434796140678484
19,10,0,-1.0
19,10,1,-0.007009842101536519
29,10,1,-1.0
15,6,0,-1.0
15,6,1,-0.1598713826366558
18,6,0,-1.0
18,6,1,0.27045908183632755
12,9,0,-1.0
12,9,1,-0.5347968239140585
21,9,0,-1.0
21,9,1,0.9389137673670963
