player,dealer,action,value
20,10,0,-0.5703943498396142
10,10,1,-0.64
7,10,0,-0.7838547229374804
18,10,0,-0.4061867858757547
18,10,1,-0.23400260002889026
15,10,0,-0.767987976930162
15,10,1,-0.5750824917508176
19,7,0,-0.44247801763521266
11,7,1,-0.5555555555555556
8,7,0,0.2197398014513126
14,7,0,-0.15585950966319623
14,7,1,-0.3203883495145631
22,7,0,0.0
22,7,1,-1.0
20,7,1,0.7773540627750043
20,7,0,-0.3939965438166573
21,7,0,-0.5516094773440126
21,7,1,0.9265913757700195
25,7,0,0.0
25,7,1,-1.0
16,8,1,-0.5120727500783988
18,8,0,-0.41849041843834345
28,8,0,0.0
28,8,1,-1.0
17,8,0,-0.4308068613782833
12,8,0,-0.21590792241870566
12,8,1,-0.46428571428571425
27,8,0,0.0
27,8,1,-1.0
20,9,0,-0.7335442819828267
18,9,0,-0.40076069701221656
19,9,0,-0.5298538908912089
19,9,1,0.2764682112068948
20,9,1,0.7643576080521058
28,9,0,0.0
28,9,1,-1.0
29,9,0,0.0
29,9,1,-1.0
20,2,0,-0.7014745915071168
16,2,0,-0.4046385882382638
16,2,1,-0.29650690495532106
11,2,0,0.4479292452774953
13,2,0,-0.2224848582132569
13,2,1,-0.34693877551020386
19,2,0,-0.5003441391176717
19,2,1,0.3897129186602889
21,2,0,-0.8175027164478159
21,2,1,0.8794846559899774
31,2,0,0.0
31,2,1,-1.0
18,9,1,-0.18443599819622472
13,9,0,-0.32583970418559327
21,9,1,0.9400868306801773
8,9,0,-0.32777064861818184
10,9,0,0.2771692676930108
10,9,1,-0.6666666666666665
12,9,0,-0.3412745364768844
12,9,1,-0.6062176165803109
22,9,0,0.0
22,9,1,-1.0
13,10,1,-0.5714285714285738
10,10,0,-0.09831555164834074
21,10,0,-0.8575048732943469
21,10,1,0.8896670190274851
14,10,0,-0.7336907725207417
12,4,1,-0.44827586206896547
6,4,0,-0.40327449720967445
14,4,0,-0.2500700782771132
14,4,1,-0.21244860114488423
19,4,0,-0.48535551679207506
19,4,1,0.4205178309721531
26,4,0,0.0
26,4,1,-1.0
21,4,1,0.8882253521126778
23,9,0,0.0
23,9,1,-1.0
19,5,1,0.4536418309388574
14,5,0,-0.1779748304540914
24,5,0,0.0
24,5,1,-1.0
20,5,0,-0.4756702364870014
28,5,0,0.0
28,5,1,-1.0
14,10,1,-0.571980456766269
12,10,0,-0.5250317488522618
12,10,1,-0.5802469135802466
22,10,0,0.0
22,10,1,-1.0
7,9,0,-0.4790129173629292
11,9,0,0.30536252026491273
11,9,1,-0.35294117647058826
13,9,1,-0.47252747252747246
15,2,0,-0.3247262574975355
18,2,0,-0.2998540770343713
23,2,0,0.0
23,2,1,-1.0
9,9,1,-0.7674418604651162
16,9,0,-0.37506194482584815
19,10,1,-0.010770909259732099
16,11,0,-0.651285158057842
12,11,1,-0.7674418604651113
12,11,0,-0.9342991960924195
20,11,0,-0.8019248852106347
20,11,1,0.15502785107006845
14,2,1,-0.27131782945736455
15,2,1,-0.2914004914004887
18,4,0,-0.4686639742181992
16,4,1,-0.19520874924051726
17,4,1,-0.09086945146943344
18,4,1,0.17873693775556518
19,10,0,-0.7703275319255022
24,10,0,0.0
24,10,1,-1.0
17,10,0,-0.6929000054118818
17,10,1,-0.4657945432552311
14,11,0,-0.7017901140979715
17,11,0,-0.7207034876447297
17,11,1,-0.6451778385772926
11,11,1,-0.935483870967742
14,11,1,-0.7689587426326139
18,6,0,-0.3186759047799333
12,6,1,-0.14662120272783496
18,6,1,0.2680969538159188
15,8,0,-0.2819466993416507
18,8,1,0.10599435825105714
8,8,0,-0.06448450280660492
17,8,1,-0.38435681965093776
19,8,1,0.5940458125587106
17,9,0,-0.44313086693937387
25,9,0,0.0
25,9,1,-1.0
17,9,1,-0.413434425715896
7,10,1,-0.5792300805729662
16,10,1,-0.5722562981514152
11,10,0,0.07986735295524046
14,3,0,-0.3857244009963185
9,3,1,-0.18749999999999997
20,3,0,-0.7845353344076657
20,3,1,0.6505609382967871
30,3,0,0.0
30,3,1,-1.0
28,10,0,0.0
28,10,1,-1.0
10,7,0,0.5044176357772099
19,7,1,0.6034706876381133
8,7,1,-0.32203389830508455
