player,dealer,action,value
11,6,0,0.5317331618154036
11,6,1,-1.0
18,6,0,-1.8
18,6,1,0.2733228097869
21,6,0,0.0
21,6,1,0.9006451612903204
19,6,0,0.0
19,6,1,0.4828512581714006
15,6,0,-1.0
15,6,1,-0.1707071433709815
20,6,0,0.0
20,6,1,0.6954255935147636
6,6,0,-0.19294479930123723
6,6,1,-1.0
16,6,0,-1.0
16,6,1,-0.16533432947329083
19,2,0,-1.0
19,2,1,0.3899756461623103
13,2,0,-0.46200937543666865
13,2,1,-1.0
17,2,0,-1.0
17,2,1,-0.1570837494649729
9,2,0,0.05523082751809518
9,2,1,-0.3333333333333333
23,2,1,-1.0
16,9,0,-0.7229606006976176
16,9,1,-1.0
5,9,0,-0.7385872013657336
5,9,1,-1.0
11,9,0,0.16713100838389805
11,9,1,-1.0
7,2,0,-0.2717902106929828
7,2,1,-1.0
12,2,0,-1.0
12,2,1,-0.2968057121382933
18,2,0,0.0
18,2,1,0.1196420514363064
10,2,0,0.25974033796576756
10,2,1,0.0
20,2,0,0.0
20,2,1,0.6361471142129143
13,6,0,-0.3092530045240279
13,6,1,-0.6666666666666667
23,6,1,-1.0
7,10,0,-1.004552926438697
7,10,1,-0.5836451095670744
17,10,0,-1.2666666666666666
17,10,1,-0.46383051280958104
19,10,0,-1.000751191542935
19,10,1,-0.01635159224454767
29,10,1,-1.0
14,3,0,-0.5529678378835358
14,3,1,-1.0
18,3,0,-0.29600000000000004
18,3,1,0.15470704410796504
20,3,0,-1.0
20,3,1,0.6540514049226713
16,3,0,-1.8
16,3,1,-0.2305227012590614
19,7,0,-1.0
19,7,1,0.624404391961884
10,7,0,0.38775032178125346
10,7,1,-1.0
12,7,0,-0.34813732793194174
12,7,1,-0.4545454545454545
16,5,0,-1.0
16,5,1,-0.1596653773500039
15,5,0,-1.4
15,5,1,-0.1728772144166162
12,5,0,-1.8
12,5,1,-0.15574793973195722
22,5,1,-1.0
17,5,0,-1.0
17,5,1,-0.04529581961488592
13,5,0,-1.4
13,5,1,-0.1583967868797597
25,5,1,-1.0
20,10,0,0.0
20,10,1,0.4378360888121888
21,10,0,0.0
21,10,1,0.889272136760744
12,10,0,-1.1066666666666667
12,10,1,-0.5771315529178955
17,11,0,-0.7555555555555555
17,11,1,-0.6367548278757352
11,11,0,-0.298010506226314
11,11,1,-0.9259259259259258
12,11,0,-0.952
12,11,1,-0.7749762542094847
15,10,0,-1.0
15,10,1,-0.5761016290981691
10,10,0,-0.1279684884283559
10,10,1,-1.0
22,10,1,-1.0
10,8,0,0.2976379489685881
10,8,1,-1.0
18,8,0,-1.0
18,8,1,0.0983942065491185
15,8,0,-1.0
15,8,1,-0.5156950672645704
20,8,0,-1.008362967983238
20,8,1,0.787222065859844
16,10,0,-1.0666666666666667
16,10,1,-0.576063042521707
18,10,0,-1.8
18,10,1,-0.23802837875210234
20,11,0,-1.0
20,11,1,0.14545724686130232
13,11,0,-1.104
13,11,1,-0.7628479190297532
19,11,0,-1.0
19,11,1,-0.12262864228146295
14,11,0,-1.0608955770860533
14,11,1,-0.7634308137905267
15,11,0,-0.9650268281749284
15,11,1,-1.0
24,11,1,-1.0
17,4,0,-0.6870261813608001
17,4,1,-0.8
14,4,0,-1.0
14,4,1,-0.19280494659921246
19,4,0,-1.0
19,4,1,0.41490944089596743
21,4,1,0.8860653155518233
28,4,1,-1.0
14,10,0,-0.7537946615366543
14,10,1,-1.0
9,10,0,-0.4246899557738152
9,10,1,-1.0
13,10,0,-0.7125574465554735
13,10,1,-1.0
17,7,0,-1.0
17,7,1,-0.09920221990981581
8,7,0,-1.0
8,7,1,-0.4461037197936457
18,7,0,-1.0
18,7,1,0.4145440404433208
13,7,0,-1.4
13,7,1,-0.46741237882177333
25,7,1,-1.0
23,7,1,-1.0
14,6,0,-0.38389861937136116
14,6,1,-1.0
16,2,0,-0.6343127207321815
16,2,1,-1.0
6,2,0,-0.4535623871627023
6,2,1,-0.5
11,2,0,0.3495568310298045
11,2,1,0.0
14,2,0,-0.5153313129701542
14,2,1,-1.0
15,2,0,-0.4594594594594594
15,2,1,-0.3079295456103079
13,9,0,-1.8
13,9,1,-0.5377096022257327
10,9,0,-1.6933333333333334
10,9,1,-0.5492519914513295
21,9,1,0.9356884941934227
24,10,1,-1.0
18,11,0,-1.034241575418046
18,11,1,-0.3843482287566553
16,11,0,-1.0063550420168068
16,11,1,-0.7550896384077771
9,6,0,-1.2666666666666666
9,6,1,-0.15274751876058967
19,9,0,0.0
19,9,1,0.28017203546037084
15,9,0,-1.0
15,9,1,-0.5483401986915447
24,9,1,-1.0
17,6,0,-1.0
17,6,1,-0.010186893398572242
21,2,1,0.8816573230553626
11,10,0,0.050091409281082064
11,10,1,-1.0
10,11,0,-1.036136168220202
10,11,1,-0.7657009938676258
21,11,0,-1.0
21,11,1,0.6306976744186058
27,11,1,-1.0
19,5,0,0.0
19,5,1,0.4572299285414014
12,4,0,-1.0
12,4,1,-0.20167008035292422
16,4,0,-1.0
16,4,1,-0.20737087983389693
24,4,1,-1.0
13,8,0,-0.479324018792612
13,8,1,-1.0
21,8,0,0.0
21,8,1,0.9286238532110077
18,5,0,-1.0
18,5,1,0.21013472752865534
20,5,0,0.0
20,5,1,0.67947399353511
24,5,1,-1.0
7,11,0,-1.3733333333333333
7,11,1,-0.7749546279491829
12,6,0,-0.2595167632162764
12,6,1,-1.0
10,6,0,0.4594009552127431
10,6,1,-0.037037037037037
9,3,0,-0.6955752212389381
9,3,1,-0.224669603524229
13,3,0,-1.4
13,3,1,-0.24294841826398503
24,3,1,-1.0
14,5,0,-0.40018781313139207
14,5,1,-1.0
23,3,1,-1.0
23,10,1,-1.0
8,10,0,-0.6064867502325896
8,10,1,-1.0
9,9,0,-0.16891634645253809
9,9,1,-1.0
14,9,0,-1.8
14,9,1,-0.5483562843269932
12,9,0,-0.6121574537234078
12,9,1,-1.0
20,4,0,-1.0
20,4,1,0.6572595172330938
26,4,1,-1.0
15,4,0,-1.2666666666666666
15,4,1,-0.21761571761571785
18,4,0,-1.8
18,4,1,0.18431572680105476
21,2,0,0.0
11,5,0,-0.3844444444444444
11,5,1,-0.1648117091019956
10,5,0,-0.7333333333333334
10,5,1,-0.152561888313183
19,3,0,-1.0
19,3,1,0.4118679481821981
15,3,0,-0.5837698512421811
15,3,1,-1.0
25,4,1,-1.0
17,9,0,-0.7161622739174156
17,9,1,-1.0
25,9,1,-1.0
8,4,0,0.02379834363708681
8,4,1,-1.0
21,7,1,0.9270259236578886
16,8,0,-1.0137571937008436
16,8,1,-0.513549046819082
29,8,1,-1.0
20,9,0,-1.0
20,9,1,0.7518557794273611
23,9,1,-1.0
29,9,1,-1.0
13,4,0,-0.3920657900403659
13,4,1,-1.0
9,4,0,0.1717027153573
9,4,1,-1.0
17,3,0,-0.6867128332702982
17,3,1,-1.0
8,9,0,-1.5
8,9,1,-0.5306013837147427
9,11,0,-1.0106217925682315
9,11,1,-0.7509505703422037
21,5,0,0.0
21,5,1,0.8891086096744751
7,4,0,-1.58
7,4,1,-0.20598130841121434
8,11,0,-1.5333333333333334
8,11,1,-0.7728055077452699
16,7,0,-1.0
16,7,1,-0.47742401154864295
15,7,0,-0.46355145806962017
15,7,1,-1.0
6,9,0,-0.8516243595114383
6,9,1,-1.0
22,9,1,-1.0
5,10,0,-0.8145497231574321
5,10,1,-1.0
7,5,0,-0.16995394803722624
7,5,1,-0.14262362076011403
19,8,0,0.0
19,8,1,0.5993104001282993
14,8,0,-0.5277300037247195
14,8,1,-1.0
14,7,0,-0.7866666666666666
14,7,1,-0.4715344582873382
26,9,1,-1.0
8,2,0,-0.12493432755703379
8,2,1,-1.0
10,4,0,0.3496378630101746
10,4,1,-0.2777777777777778
6,8,0,-1.0
6,8,1,-0.5188492063492072
17,8,0,-1.0
17,8,1,-0.38665433811064676
27,8,1,-1.0
11,7,0,0.47813631320969957
11,7,1,-0.33333333333333337
21,3,1,0.8911313960304826
20,7,0,0.0
20,7,1,0.771637317347322
8,6,0,0.2111060525056461
8,6,1,-1.0
22,11,1,-1.0
12,3,0,-0.43283277724508346
12,3,1,-1.0
21,3,0,0.0
7,3,0,-0.3380507110050522
7,3,1,-0.226298583363603
26,3,1,-1.0
24,2,1,-1.0
9,5,0,0.21261111766652271
9,5,1,-0.2
6,11,0,-1.48
6,11,1,-0.7777777777777787
25,11,1,-1.0
12,8,0,-0.45082036035193856
12,8,1,-1.0
11,3,0,0.35048488582016774
11,3,1,-0.33333333333333326
7,7,0,-0.2473179904971356
7,7,1,-1.0
4,9,0,-1.606060606060606
4,9,1,-0.5738203957382038
5,8,0,-0.5070358429970858
5,8,1,-1.0
25,6,1,-1.0
8,3,0,-0.10121451317519571
8,3,1,-1.0
11,4,0,0.42829323826379434
11,4,1,-1.0
26,8,1,-1.0
5,5,0,-0.24504154692667038
5,5,1,-1.0
22,6,1,-1.0
11,8,0,0.357571425240855
11,8,1,-0.43749999999999994
6,7,0,-0.5216880973601095
6,7,1,-1.0
