player,dealer,action,value
16,9,1,-0.5443157089925286
16,9,0,-0.889705566903933
26,9,1,-1.0
19,9,1,0.2694378634503536
20,9,0,-1.088364098115314
28,9,1,-1.0
7,10,0,-0.8983139031004129
16,10,0,-0.7231451596618228
6,10,1,-0.591247329256614
8,10,1,-0.5890278266995517
15,10,1,-0.5675265972107364
18,10,0,-0.8601838257274319
25,10,1,-1.0
9,2,1,-0.372093023255814
15,2,0,-0.937111627343862
24,2,1,-1.0
19,2,1,0.4030252531726693
12,2,1,-0.2766712679944767
7,2,0,-0.18184640341809533
14,2,0,-0.4651274816452108
18,2,0,-1.060243666862484
11,10,0,0.033473307161481315
21,10,1,0.8905965503064003
20,10,0,-1.5368421052631582
30,10,1,-1.0
15,10,0,-0.7986166584639633
20,10,1,0.4386921268227899
17,10,1,-0.4673959571938159
12,3,0,-0.5196235631763787
16,3,0,-0.43976455165446954
17,3,1,-0.10142228242465194
10,3,0,0.38539963799149585
18,3,1,0.14504466184602252
17,3,0,-0.40905038728745746
20,3,1,0.6427067303798502
15,3,1,-0.24843201870947107
19,3,1,0.3994234465086454
21,11,1,0.6385363441569121
15,11,1,-0.763816505354792
16,11,0,-0.8653698723003342
18,11,1,-0.37670483553351203
20,11,1,0.16082095920805464
12,11,0,-0.9696922388427608
15,11,0,-1.098506482537763
24,11,1,-1.0
21,2,1,0.8820497037777938
20,2,0,-1.314356806734142
16,2,1,-0.2695063469675573
25,2,1,-1.0
17,2,0,-0.6562541886013372
13,2,0,-0.5066864846035832
23,2,1,-1.0
9,9,0,-0.16479325326671182
13,9,1,-0.5383294375804983
12,9,0,-0.7573327973990391
17,9,0,-1.2712534652219365
23,9,1,-1.0
14,9,0,-0.8048293174461251
8,9,0,-0.4640658425002405
18,9,1,-0.1955098222637974
16,10,1,-0.5752744458735854
9,10,1,-0.4814814814814814
14,10,0,-0.8466964911831918
24,10,1,-1.0
17,10,0,-1.0596885430770897
12,11,1,-0.7645927200931465
20,11,0,-1.347433326339632
30,11,1,-1.0
19,11,1,-0.1027279812938423
13,10,1,-0.5769745320650571
19,10,0,-0.8941264907363211
5,10,1,-0.5778635778635764
8,10,0,-0.6179471357685657
17,2,1,-0.1370909293638844
28,2,1,-1.0
27,2,1,-1.0
17,11,1,-0.6334533551554887
16,11,1,-0.7643280010076818
14,11,0,-0.8523256707664346
13,11,0,-1.0740293825153404
12,2,0,-0.4903968020222547
13,2,1,-0.2743641040297193
19,2,0,-0.8714874951502722
21,4,1,0.8961953265428416
4,4,0,-0.08703275048026636
14,4,0,-0.5667248917203396
19,4,1,0.41611034135281455
15,4,1,-0.21289441906861833
12,4,1,-0.20669089553629588
13,4,0,-0.5209739033376529
14,4,1,-0.19770946353224622
19,10,1,-0.008020092088740109
12,10,0,-0.6412803109384503
23,10,1,-1.0
20,7,0,-0.9873648757068251
13,7,1,-0.46876773320528586
20,7,1,0.7706445025615279
19,7,0,-0.919023541652231
26,7,1,-1.0
13,7,0,-0.5017969752727169
17,7,1,-0.1112584733274381
21,10,0,-1.3146666666666664
28,10,1,-1.0
14,10,1,-0.5814860373210435
10,10,0,-0.1359714112591752
13,5,1,-0.1604636973764499
11,5,1,-0.08108108108108115
8,5,0,0.18870900204396024
12,5,1,-0.13646980313646834
12,5,0,-0.19252326676630976
22,5,1,-1.0
18,5,1,0.21431144194981436
8,5,1,-0.19480519480519487
19,5,1,0.4414551930293173
13,4,1,-0.19772180033339637
19,4,0,-1.302562483209485
29,4,1,-1.0
16,4,0,-0.3624879062112651
18,4,0,-0.3939160528440649
7,7,0,-0.18651049044570941
17,7,0,-1.0784662204743956
16,7,0,-0.6482681372837353
16,7,1,-0.48162494552848983
19,7,1,0.6119132639859208
15,7,0,-0.7916523450180187
25,7,1,-1.0
21,6,1,0.9010140759800211
20,6,0,-0.9463497576530365
13,6,0,-0.45355289456472303
22,6,1,-1.0
24,6,1,-1.0
26,6,1,-1.0
14,6,0,-0.5591670248917102
18,6,0,-0.314433461264686
11,2,1,-0.3001508295625947
10,2,0,0.34065342960474115
20,2,1,0.6334891732283416
10,10,1,-0.7500000000000001
13,10,0,-0.670773960280305
22,10,1,-1.0
18,10,1,-0.2372577359081983
29,10,1,-1.0
16,2,0,-0.4455471277161866
17,9,1,-0.411128675308252
15,9,0,-0.6589935578551062
25,9,1,-1.0
10,9,1,-0.6521739130434784
21,9,0,-1.275636862724112
31,9,1,-1.0
12,10,1,-0.581754717215505
5,10,0,-0.8281498728604515
9,10,0,-0.43672403778919766
12,3,1,-0.23769930548762216
18,3,0,-0.5703348393937869
25,3,1,-1.0
9,3,1,-0.2984615384615386
22,3,1,-1.0
16,5,1,-0.14221193473719823
14,5,1,-0.15796882855706246
13,5,0,-0.36890131772487117
15,5,1,-0.15113323448421803
17,5,1,-0.03902769161355757
7,5,1,-0.049645390070921974
18,5,0,-0.9739515909101808
24,5,1,-1.0
20,5,0,-0.9580379287030723
26,5,1,-1.0
12,7,0,-0.3772956220245704
30,7,1,-1.0
12,7,1,-0.8666666666666666
18,4,1,0.17723385432026006
26,4,1,-1.0
28,4,1,-1.0
22,4,1,-1.0
7,4,1,-0.33333333333333326
15,2,1,-0.27328275370436445
21,2,0,-0.9268749415839276
8,2,1,-0.5333333333333335
15,4,0,-0.47398315862433493
24,4,1,-1.0
15,5,0,-0.5489261582443862
25,5,1,-1.0
19,8,0,-0.8731392874758007
15,8,1,-0.5134133042530022
16,8,1,-0.49877350776778306
14,8,0,-1.156384497241763
17,8,0,-0.8324132001872899
20,8,1,0.785205793306609
18,8,0,-0.926088175078312
28,8,1,-1.0
11,4,0,0.5292507438395714
12,4,0,-0.604597166962921
21,4,0,-1.1002694753880122
23,4,1,-1.0
27,4,1,-1.0
15,6,1,-0.15607706497232934
20,6,1,0.7090924147068536
16,6,1,-0.16187373623904597
17,6,1,0.011599057188934335
14,8,1,-0.5144904954814606
9,8,0,0.08754851678105281
18,8,1,0.09805307460001242
11,8,1,-0.642857142857143
13,8,0,-0.8388108517069177
23,8,1,-1.0
8,8,0,-0.21141175598383155
10,5,1,-0.21212121212121215
19,5,0,-0.8759947744631578
6,10,0,-1.0256272804387527
17,8,1,-0.3856462925851705
8,8,1,-0.5238095238095236
13,8,1,-0.5061610011027533
27,8,1,-1.0
20,3,0,-1.1498042563706026
13,3,1,-0.24048391856004522
13,3,0,-0.37400863662464967
23,3,1,-1.0
11,10,1,-0.666666666666667
7,10,1,-0.5771072024097633
4,10,1,-0.5888157894736832
14,3,1,-0.25493606138107383
21,3,1,0.8850076103500746
15,3,0,-0.43480710480286267
30,3,1,-1.0
14,11,1,-0.7608447177924138
13,11,1,-0.7577822990844347
11,7,0,0.48162868206979265
18,7,0,-0.5721935106570454
21,7,1,0.9304498891751064
24,7,1,-1.0
12,8,0,-0.5859130350626784
15,8,0,-0.7418002665629589
17,5,0,-0.7428476333318533
14,5,0,-0.3763938385599896
10,11,0,-0.5010456984817987
7,9,0,-0.533580327122798
20,9,1,0.7461090698922496
10,9,0,0.11369586119311298
24,9,1,-1.0
12,9,1,-0.5345355563116727
10,4,1,-0.11111111111111109
20,4,0,-1.4121925491172993
30,4,1,-1.0
25,4,1,-1.0
11,4,1,-0.409090909090909
18,2,1,0.12000962000961939
14,2,1,-0.2971693460893568
15,7,1,-0.47523379122108067
22,7,1,-1.0
6,7,0,-0.48213608000714697
11,8,0,0.32333321308411833
12,8,1,-0.5090633703034125
10,8,0,0.28178122830463026
21,8,0,-1.4
24,8,1,-1.0
21,11,0,-1.2678514311027556
10,11,1,-0.8200000000000002
7,11,0,-1.1176221360786491
17,11,0,-0.6930835934728047
18,11,0,-1.1922924158894872
23,11,1,-1.0
14,7,0,-0.5109378884362805
19,3,0,-1.0142144810117495
16,3,1,-0.2620018115942028
19,11,0,-1.305917083974659
22,11,1,-1.0
6,2,0,-0.46012200549179616
11,2,0,0.4469010289102086
31,2,1,-1.0
11,3,1,-0.41176470588235314
14,7,1,-0.5199999999999999
4,7,1,-0.5172413793103451
9,7,1,-0.5625000000000002
21,7,0,-1.4189497371005693
5,7,0,-0.843762810369862
18,7,1,0.3990786209689632
30,2,1,-1.0
6,2,1,-0.27348242811501594
29,11,1,-1.0
21,5,1,0.8955102040816353
19,9,0,-0.7556455719516482
11,9,1,-0.6585365853658538
27,10,1,-1.0
27,7,1,-1.0
22,9,1,-1.0
14,3,0,-0.5024784853563604
11,3,0,0.47667358368749685
21,9,1,0.9392341206145391
5,9,1,-0.5545454545454536
15,9,1,-0.5386596495157057
18,9,0,-1.2243215442406752
11,9,0,0.20255747020443965
14,9,1,-0.540415824130243
26,3,1,-1.0
8,3,0,0.021479605969243643
14,6,1,-0.1576227390180873
11,6,0,0.6299026502708616
21,6,0,-1.5714285714285716
6,6,1,-0.14285714285714296
9,9,1,-0.5395638629283502
20,4,1,0.6624397358505819
16,4,1,-0.20012763920651017
17,4,1,-0.07414364640883898
10,2,1,-0.3142857142857144
7,2,1,-0.769230769230769
4,6,1,-0.18518518518518529
17,6,0,-0.7986307203581285
27,6,1,-1.0
12,6,1,-0.15167168890802005
13,6,1,-0.15835181951196256
8,11,0,-0.8016941169161937
13,9,0,-0.6117242085742722
28,5,1,-1.0
27,5,1,-1.0
16,5,0,-0.7973185879175023
30,5,1,-1.0
25,8,1,-1.0
20,8,0,-0.8536405683213105
29,8,1,-1.0
12,6,0,-0.24874440347914184
10,6,0,0.5372314388929712
23,6,1,-1.0
15,6,0,-0.5645127533575746
25,6,1,-1.0
8,4,1,-0.24528301886792447
